"REF_DATE","GEO","DGUID","Interprovincial migrants","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1973/1974","British Columbia","2016A000259","Out-migrants","Persons","249","units","0","v466512","10.14","57677","","","","0"
"1973/1974","British Columbia","2016A000259","Net-migration","Persons","249","units","0","v466527","10.15","31505","","","","0"
"1973/1974","Yukon","2016A000260","In-migrants","Persons","249","units","0","v466498","11.13","2306","","","","0"
"1973/1974","Yukon","2016A000260","Out-migrants","Persons","249","units","0","v466513","11.14","2810","","","","0"
"1973/1974","Yukon","2016A000260","Net-migration","Persons","249","units","0","v466528","11.15","-504","","","","0"
"1973/1974","Northwest Territories including Nunavut","","In-migrants","Persons","249","units","0","v466499","12.13","3609","","","t","0"
"1973/1974","Northwest Territories including Nunavut","","Out-migrants","Persons","249","units","0","v466514","12.14","4395","","","t","0"
"1973/1974","Northwest Territories including Nunavut","","Net-migration","Persons","249","units","0","v466529","12.15","-786","","","t","0"
"1974/1975","Canada","2016A000011124","In-migrants","Persons","249","units","0","v466500","13.13","411709","","","","0"
"1974/1975","Canada","2016A000011124","Out-migrants","Persons","249","units","0","v466515","13.14","411709","","","","0"
"1974/1975","Newfoundland and Labrador","2016A000210","In-migrants","Persons","249","units","0","v466496","1.13","12333","","","","0"
"1974/1975","Newfoundland and Labrador","2016A000210","Out-migrants","Persons","249","units","0","v466511","1.14","11790","","","","0"
"1974/1975","Newfoundland and Labrador","2016A000210","Net-migration","Persons","249","units","0","v466526","1.15","543","","","","0"
"1974/1975","Prince Edward Island","2016A000211","In-migrants","Persons","249","units","0","v466503","2.13","5337","","","","0"
"1974/1975","Prince Edward Island","2016A000211","Out-migrants","Persons","249","units","0","v466518","2.14","4003","","","","0"
"1974/1975","Prince Edward Island","2016A000211","Net-migration","Persons","249","units","0","v466532","2.15","1334","","","","0"
"1974/1975","Nova Scotia","2016A000212","In-migrants","Persons","249","units","0","v466504","3.13","26782","","","","0"
"1974/1975","Nova Scotia","2016A000212","Out-migrants","Persons","249","units","0","v466519","3.14","24360","","","","0"
"1974/1975","Nova Scotia","2016A000212","Net-migration","Persons","249","units","0","v466533","3.15","2422","","","","0"
"1974/1975","New Brunswick","2016A000213","In-migrants","Persons","249","units","0","v466505","4.13","24072","","","","0"
"1974/1975","New Brunswick","2016A000213","Out-migrants","Persons","249","units","0","v466520","4.14","18035","","","","0"
"1974/1975","New Brunswick","2016A000213","Net-migration","Persons","249","units","0","v466534","4.15","6037","","","","0"
"1974/1975","Quebec","2016A000224","In-migrants","Persons","249","units","0","v466506","5.13","37225","","","","0"
"1974/1975","Quebec","2016A000224","Out-migrants","Persons","249","units","0","v466521","5.14","47586","","","","0"
"1974/1975","Quebec","2016A000224","Net-migration","Persons","249","units","0","v466535","5.15","-10361","","","","0"
"1974/1975","Ontario","2016A000235","In-migrants","Persons","249","units","0","v466507","6.13","85175","","","","0"
"1974/1975","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v466522","6.14","113369","","","","0"
"1974/1975","Ontario","2016A000235","Net-migration","Persons","249","units","0","v466536","6.15","-28194","","","","0"
"1974/1975","Manitoba","2016A000246","In-migrants","Persons","249","units","0","v466508","7.13","29608","","","","0"
"1974/1975","Manitoba","2016A000246","Out-migrants","Persons","249","units","0","v466523","7.14","35727","","","","0"
"1974/1975","Manitoba","2016A000246","Net-migration","Persons","249","units","0","v466537","7.15","-6119","","","","0"
"1974/1975","Saskatchewan","2016A000247","In-migrants","Persons","249","units","0","v466509","8.13","29697","","","","0"
"1974/1975","Saskatchewan","2016A000247","Out-migrants","Persons","249","units","0","v466524","8.14","29000","","","","0"
"1974/1975","Saskatchewan","2016A000247","Net-migration","Persons","249","units","0","v466538","8.15","697","","","","0"
"1974/1975","Alberta","2016A000248","In-migrants","Persons","249","units","0","v466510","9.13","79075","","","","0"
"1974/1975","Alberta","2016A000248","Out-migrants","Persons","249","units","0","v466525","9.14","55920","","","","0"
"1974/1975","Alberta","2016A000248","Net-migration","Persons","249","units","0","v466539","9.15","23155","","","","0"
"1974/1975","British Columbia","2016A000259","In-migrants","Persons","249","units","0","v466497","10.13","74976","","","","0"
"1974/1975","British Columbia","2016A000259","Out-migrants","Persons","249","units","0","v466512","10.14","65361","","","","0"
"1974/1975","British Columbia","2016A000259","Net-migration","Persons","249","units","0","v466527","10.15","9615","","","","0"
"1974/1975","Yukon","2016A000260","In-migrants","Persons","249","units","0","v466498","11.13","2897","","","","0"
"1974/1975","Yukon","2016A000260","Out-migrants","Persons","249","units","0","v466513","11.14","2558","","","","0"
"1974/1975","Yukon","2016A000260","Net-migration","Persons","249","units","0","v466528","11.15","339","","","","0"
"1974/1975","Northwest Territories including Nunavut","","In-migrants","Persons","249","units","0","v466499","12.13","4532","","","t","0"
"1974/1975","Northwest Territories including Nunavut","","Out-migrants","Persons","249","units","0","v466514","12.14","4000","","","t","0"
"1974/1975","Northwest Territories including Nunavut","","Net-migration","Persons","249","units","0","v466529","12.15","532","","","t","0"
"1975/1976","Canada","2016A000011124","In-migrants","Persons","249","units","0","v466500","13.13","375351","","","","0"
"1975/1976","Canada","2016A000011124","Out-migrants","Persons","249","units","0","v466515","13.14","375351","","","","0"
"1975/1976","Newfoundland and Labrador","2016A000210","In-migrants","Persons","249","units","0","v466496","1.13","11699","","","","0"
"1975/1976","Newfoundland and Labrador","2016A000210","Out-migrants","Persons","249","units","0","v466511","1.14","11567","","","","0"
"1975/1976","Newfoundland and Labrador","2016A000210","Net-migration","Persons","249","units","0","v466526","1.15","132","","","","0"
"1975/1976","Prince Edward Island","2016A000211","In-migrants","Persons","249","units","0","v466503","2.13","4268","","","","0"
"1975/1976","Prince Edward Island","2016A000211","Out-migrants","Persons","249","units","0","v466518","2.14","3812","","","","0"
"1975/1976","Prince Edward Island","2016A000211","Net-migration","Persons","249","units","0","v466532","2.15","456","","","","0"
"1975/1976","Nova Scotia","2016A000212","In-migrants","Persons","249","units","0","v466504","3.13","24512","","","","0"
"1975/1976","Nova Scotia","2016A000212","Out-migrants","Persons","249","units","0","v466519","3.14","20873","","","","0"
"1975/1976","Nova Scotia","2016A000212","Net-migration","Persons","249","units","0","v466533","3.15","3639","","","","0"
"1975/1976","New Brunswick","2016A000213","In-migrants","Persons","249","units","0","v466505","4.13","22898","","","","0"
"1975/1976","New Brunswick","2016A000213","Out-migrants","Persons","249","units","0","v466520","4.14","16991","","","","0"
"1975/1976","New Brunswick","2016A000213","Net-migration","Persons","249","units","0","v466534","4.15","5907","","","","0"
"1975/1976","Quebec","2016A000224","In-migrants","Persons","249","units","0","v466506","5.13","32562","","","","0"
"1975/1976","Quebec","2016A000224","Out-migrants","Persons","249","units","0","v466521","5.14","45916","","","","0"
"1975/1976","Quebec","2016A000224","Net-migration","Persons","249","units","0","v466535","5.15","-13354","","","","0"
"1975/1976","Ontario","2016A000235","In-migrants","Persons","249","units","0","v466507","6.13","81717","","","","0"
"1975/1976","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v466522","6.14","100649","","","","0"
"1975/1976","Ontario","2016A000235","Net-migration","Persons","249","units","0","v466536","6.15","-18932","","","","0"
"1975/1976","Manitoba","2016A000246","In-migrants","Persons","249","units","0","v466508","7.13","26356","","","","0"
"1975/1976","Manitoba","2016A000246","Out-migrants","Persons","249","units","0","v466523","7.14","31338","","","","0"
"1975/1976","Manitoba","2016A000246","Net-migration","Persons","249","units","0","v466537","7.15","-4982","","","","0"
"1975/1976","Saskatchewan","2016A000247","In-migrants","Persons","249","units","0","v466509","8.13","28299","","","","0"
"1975/1976","Saskatchewan","2016A000247","Out-migrants","Persons","249","units","0","v466524","8.14","23003","","","","0"
"1975/1976","Saskatchewan","2016A000247","Net-migration","Persons","249","units","0","v466538","8.15","5296","","","","0"
"1975/1976","Alberta","2016A000248","In-migrants","Persons","249","units","0","v466510","9.13","77821","","","","0"
"1975/1976","Alberta","2016A000248","Out-migrants","Persons","249","units","0","v466525","9.14","51242","","","","0"
"1975/1976","Alberta","2016A000248","Net-migration","Persons","249","units","0","v466539","9.15","26579","","","","0"
"1975/1976","British Columbia","2016A000259","In-migrants","Persons","249","units","0","v466497","10.13","58567","","","","0"
"1975/1976","British Columbia","2016A000259","Out-migrants","Persons","249","units","0","v466512","10.14","63602","","","","0"
"1975/1976","British Columbia","2016A000259","Net-migration","Persons","249","units","0","v466527","10.15","-5035","","","","0"
"1975/1976","Yukon","2016A000260","In-migrants","Persons","249","units","0","v466498","11.13","2594","","","","0"
"1975/1976","Yukon","2016A000260","Out-migrants","Persons","249","units","0","v466513","11.14","2479","","","","0"
"1975/1976","Yukon","2016A000260","Net-migration","Persons","249","units","0","v466528","11.15","115","","","","0"
"1975/1976","Northwest Territories including Nunavut","","In-migrants","Persons","249","units","0","v466499","12.13","4058","","","t","0"
"1975/1976","Northwest Territories including Nunavut","","Out-migrants","Persons","249","units","0","v466514","12.14","3879","","","t","0"
"1975/1976","Northwest Territories including Nunavut","","Net-migration","Persons","249","units","0","v466529","12.15","179","","","t","0"
"1976/1977","Canada","2016A000011124","In-migrants","Persons","249","units","0","v466500","13.13","357389","","","","0"
"1976/1977","Canada","2016A000011124","Out-migrants","Persons","249","units","0","v466515","13.14","357389","","","","0"
"1976/1977","Newfoundland and Labrador","2016A000210","In-migrants","Persons","249","units","0","v466496","1.13","8304","","","","0"
"1976/1977","Newfoundland and Labrador","2016A000210","Out-migrants","Persons","249","units","0","v466511","1.14","12453","","","","0"
"1976/1977","Newfoundland and Labrador","2016A000210","Net-migration","Persons","249","units","0","v466526","1.15","-4149","","","","0"
"1976/1977","Prince Edward Island","2016A000211","In-migrants","Persons","249","units","0","v466503","2.13","3837","","","","0"
"1976/1977","Prince Edward Island","2016A000211","Out-migrants","Persons","249","units","0","v466518","2.14","3683","","","","0"
"1976/1977","Prince Edward Island","2016A000211","Net-migration","Persons","249","units","0","v466532","2.15","154","","","","0"
"1976/1977","Nova Scotia","2016A000212","In-migrants","Persons","249","units","0","v466504","3.13","20849","","","","0"
"1976/1977","Nova Scotia","2016A000212","Out-migrants","Persons","249","units","0","v466519","3.14","21648","","","","0"
"1976/1977","Nova Scotia","2016A000212","Net-migration","Persons","249","units","0","v466533","3.15","-799","","","","0"
"1976/1977","New Brunswick","2016A000213","In-migrants","Persons","249","units","0","v466505","4.13","15965","","","","0"
"1976/1977","New Brunswick","2016A000213","Out-migrants","Persons","249","units","0","v466520","4.14","16047","","","","0"
"1976/1977","New Brunswick","2016A000213","Net-migration","Persons","249","units","0","v466534","4.15","-82","","","","0"
"1976/1977","Quebec","2016A000224","In-migrants","Persons","249","units","0","v466506","5.13","28867","","","","0"
"1976/1977","Quebec","2016A000224","Out-migrants","Persons","249","units","0","v466521","5.14","55233","","","","0"
"1976/1977","Quebec","2016A000224","Net-migration","Persons","249","units","0","v466535","5.15","-26366","","","","0"
"1976/1977","Ontario","2016A000235","In-migrants","Persons","249","units","0","v466507","6.13","86187","","","","0"
"1976/1977","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v466522","6.14","92589","","","","0"
"1976/1977","Ontario","2016A000235","Net-migration","Persons","249","units","0","v466536","6.15","-6402","","","","0"
"1976/1977","Manitoba","2016A000246","In-migrants","Persons","249","units","0","v466508","7.13","22864","","","","0"
"1976/1977","Manitoba","2016A000246","Out-migrants","Persons","249","units","0","v466523","7.14","26395","","","","0"
"1976/1977","Manitoba","2016A000246","Net-migration","Persons","249","units","0","v466537","7.15","-3531","","","","0"
"1976/1977","Saskatchewan","2016A000247","In-migrants","Persons","249","units","0","v466509","8.13","24058","","","","0"
"1976/1977","Saskatchewan","2016A000247","Out-migrants","Persons","249","units","0","v466524","8.14","20876","","","","0"
"1976/1977","Saskatchewan","2016A000247","Net-migration","Persons","249","units","0","v466538","8.15","3182","","","","0"
"1976/1977","Alberta","2016A000248","In-migrants","Persons","249","units","0","v466510","9.13","81332","","","","0"
"1976/1977","Alberta","2016A000248","Out-migrants","Persons","249","units","0","v466525","9.14","46622","","","","0"
"1976/1977","Alberta","2016A000248","Net-migration","Persons","249","units","0","v466539","9.15","34710","","","","0"
"1976/1977","British Columbia","2016A000259","In-migrants","Persons","249","units","0","v466497","10.13","58199","","","","0"
"1976/1977","British Columbia","2016A000259","Out-migrants","Persons","249","units","0","v466512","10.14","53183","","","","0"
"1976/1977","British Columbia","2016A000259","Net-migration","Persons","249","units","0","v466527","10.15","5016","","","","0"
"1976/1977","Yukon","2016A000260","In-migrants","Persons","249","units","0","v466498","11.13","2702","","","","0"
"1976/1977","Yukon","2016A000260","Out-migrants","Persons","249","units","0","v466513","11.14","3102","","","","0"
