"REF_DATE","GEO","DGUID","Components of population growth","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060824640","1.3.1.1","1036","","","","0"
"2015/2016","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Emigrants","Both sexes","All ages","Persons","249","units","0","v1060824973","1.4.1.1","220","","","","0"
"2016/2017","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Emigrants","Both sexes","All ages","Persons","249","units","0","v1060824973","1.4.1.1","220","","","","0"
"2017/2018","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Emigrants","Both sexes","All ages","Persons","249","units","0","v1060824973","1.4.1.1","100","","","","0"
"2018/2019","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Emigrants","Both sexes","All ages","Persons","249","units","0","v1060824973","1.4.1.1","100","","","","0"
"2019/2020","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Emigrants","Both sexes","All ages","Persons","249","units","0","v1060824973","1.4.1.1","79","","","","0"
"2015/2016","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1060825306","1.5.1.1","67","","","","0"
"2016/2017","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1060825306","1.5.1.1","103","","","","0"
"2017/2018","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1060825306","1.5.1.1","95","","","","0"
"2018/2019","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1060825306","1.5.1.1","95","","","","0"
"2019/2020","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1060825306","1.5.1.1","81","","","","0"
"2015/2016","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1060825639","1.6.1.1","103","","","","0"
"2016/2017","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1060825639","1.6.1.1","108","","","","0"
"2017/2018","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1060825639","1.6.1.1","97","","","","0"
"2018/2019","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1060825639","1.6.1.1","99","","","","0"
"2019/2020","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1060825639","1.6.1.1","70","","","","0"
"2015/2016","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1060825972","1.7.1.1","-347","","","","0"
"2016/2017","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1060825972","1.7.1.1","-1277","","","","0"
